"circuito" "MESA"
"948" "018B" 948
"949" "018B" 949
"950" "018B" 950
"951" "018B" 951
"952" "018B" 952
"953" "018B" 953
"954" "018B" 954
"955" "018B" 955
"956" "018B" 956
"957" "018B" 957
"958" "018B" 958
"959" "018B" 959
"960" "018B" 960
"961" "018B" 961
"962" "018B" 962
"963" "018B" 963
"964" "018B" 964
"965" "018B" 965
"966" "018B" 966
"967" "018B" 967
"968" "018B" 968
"969" "018B" 969
"970" "018B" 970
"971" "018B" 971
"972" "018C" 972
"973" "018C" 973
"974" "018C" 974
"975" "018C" 975
"976" "018C" 976
"977" "018C" 977
"978" "018C" 978
"979" "018C" 979
"980" "018C" 980
"981" "018C" 981
"982" "018C" 982
"983" "018C" 983
"984" "018C" 984
"985" "018C" 985
"986" "018C" 986
"987" "018C" 987
"988" "018C" 988
"989" "018C" 989
"990" "018C" 990
"991" "018C" 991
"992" "018C" 992
"993" "018C" 993
"994" "018C" 994
"995" "018C" 995
"996" "018C" 996
"997" "018C" 997
"998" "018C" 998
"999" "018C" 999
"1000" "018D" 1000
"1001" "018D" 1001
"1002" "018D" 1002
"1003" "018D" 1003
"1004" "018D" 1004
"1005" "018D" 1005
"1006" "018D" 1006
"1007" "018D" 1007
"1008" "018D" 1008
"1009" "018D" 1009
"1010" "018D" 1010
"1011" "018D" 1011
"1012" "018D" 1012
"1013" "018D" 1013
"1014" "018D" 1014
"1015" "018D" 1015
"1016" "018D" 1016
"1017" "018E" 1017
"1018" "018E" 1018
"1019" "018E" 1019
"1020" "018E" 1020
"1021" "018E" 1021
"1022" "018E" 1022
"1023" "018E" 1023
"1024" "018E" 1024
"1025" "018E" 1025
"1026" "018E" 1026
"1027" "018E" 1027
"1028" "018E" 1028
"1029" "018E" 1029
"1030" "018E" 1030
"1031" "018E" 1031
"1032" "018E" 1032
"1033" "018E" 1033
"1034" "018E" 1034
"1035" "018E" 1035
"1036" "018E" 1036
"1037" "018E" 1037
"1038" "018E" 1038
"1039" "018E" 1039
"1040" "018E" 1040
"1041" "018E" 1041
"1042" "018E" 1042
"1043" "018E" 1043
"1044" "018E" 1044
"1045" "018E" 1045
"1046" "018F" 1046
"1047" "018F" 1047
"1048" "018F" 1048
"1049" "018F" 1049
"1050" "018F" 1050
"1051" "018F" 1051
"1052" "018F" 1052
"1053" "018F" 1053
"1054" "018F" 1054
"1055" "018F" 1055
"1056" "018F" 1056
"1057" "018F" 1057
"1058" "018F" 1058
"1059" "018G" 1059
"1060" "018G" 1060
"1061" "018G" 1061
"1062" "018G" 1062
"1063" "018G" 1063
"1064" "018G" 1064
"1065" "018G" 1065
